Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
Games and Culture,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,0.946,SAGE,Anthropology
Gender and Society,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.839,SAGE,Gender Studies
Gender in Management,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,0.822,Emerald Publishing,Gender Studies
"Gender, Work and Organization",,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.4,1.769,John Wiley & Sons,Gender Studies
Geo-Spatial Information Science,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.2,1.304,Taylor & Francis,"Geography, Planning and Development"
Geocarto International,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.8,0.816,Taylor & Francis,"Geography, Planning and Development"
Geoforum,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,1.378,Elsevier,Sociology and Political Science
Geography Compass,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.8,1.495,John Wiley & Sons,General Social Sciences
Geopolitics,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.6,1.708,Taylor & Francis,Political Science and International Relations
German Politics,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.8,1.144,Taylor & Francis,Political Science and International Relations
Global Environmental Change,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,19.2,3.283,Elsevier,"Geography, Planning and Development"
Global Environmental Politics,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.6,1.646,MIT Press,Political Science and International Relations
Global Networks,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.4,1.186,John Wiley & Sons,General Social Sciences
Global Social Challenges Journal,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.4,0.949,Policy Press,Political Science and International Relations
